項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
1,11-08陳○惠(蔬果承銷人2083),臺北市中山區,山茼蒿,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
2,19-11林○樺,臺北市中山區,絲瓜,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
3,19-12林○樺,臺北市中山區,紅蘿蔔,110/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
4,B248吳○民水果行,新北市板橋區,水晶芭,110/2/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5,「陳O義」,新北市板橋區,手工板豆腐,110/3/3,防腐劑(苯甲酸),不合格,違反食安法第18條，依同法第47條裁處,30000,,違反食安法第18條，依同法第47條裁處,high,第18條 食品添加物使用標準
6,丁○江蔬果行,臺北市北投區,青江菜,113/8/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
7,丁○江蔬果行,臺北市北投區,青蒜,113/8/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
8,丁○江蔬果行,臺北市北投區,大黃瓜(胡瓜),113/4/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
9,余○鋒,臺北市中山區,茼蒿,114/1/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
10,侯○文(承銷0988),臺北市中山區,娃娃菜,110/1/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
11,台美畜牧官田場,臺北市松山區,善好蛋(善好人道雞蛋),110/6/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
12,吳○丞,新北市板橋區,白色花椰菜,114/3/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
13,吳○峰承銷號9285,新北市三重區,包心白菜,112/2/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
14,吳○舍,新北市三重區,新鮮白夢卜(白蘿蔔),114/8/5,農藥(可尼丁),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
15,吳○金,新北市蘆洲區,九層塔(羅勒),114/4/9,農藥(滅芬諾、賜諾特、草殺淨),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
16,呂O郎清燉羊肉爐,臺北市內湖區,羊肉,115/1/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
17,呂○濃,新北市中和區,蘿蔔,110/10/25,農藥(百利普芬),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
18,嘉品水果行(朱○翎),臺北市中山區,樂淇蘋果,110/10/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
19,姚○泰,臺北市大安區,菜頭,114/8/5,農藥(賽速安、可尼丁),不合格,依食安法第47條裁處,30001,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
20,姚○泰,臺北市大安區,白蘿蔔,113/8/1,農藥(可尼丁、二氯松、三氯松),不合格,依食安法第47條第1項第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
21,康○勝,新北市板橋區,芥藍,114/4/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
22,廖○娥,臺北市萬華區,愛文(芒果),111/7/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
23,張○○嬌,新北市中和區,香菜,112/5/24,農藥(普拔克、陶斯松、福多寧),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
24,張○尊,新北市五股區,刈菜(包心芥菜),113/1/2,農藥(福多寧),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
25,張○斌(蔬菜承銷人2042),臺北市大同區,豌豆,111/7/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
26,張○興,臺北市萬華區,木瓜,112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
27,張○蓮,臺北市中山區,紅鳳菜,114/7/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
28,張○蓮,臺北市中山區,油菜,113/7/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
29,徐O霞,臺北市大安區,豬肉,111/7/26,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
30,挺農易,臺北市松山區,騏雞蛋放牧蛋,110/6/10,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
31,揚海水產,臺北市松山區,特級櫻桃鴨胸排,110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
32,方○強,新北市林口區,青江菜,114/5/20,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
33,施○榮,新北市林口區,皇宮菜小葉,114/5/20,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
34,施○華,臺北市萬華區,台灣特選荷蘭豆,110/6/2,農藥(達克利、脫芬瑞、菲克利),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
35,曾○鳳,新北市板橋區,包心芥菜,113/12/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
36,李O珊,臺北市萬華區,埔里香菇,110/4/20,漂白劑、殺菌劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
37,李O興,臺北市大同區,蝦米,112/5/1,漂白劑(二氧化硫),不合格,違反食安法第47條第11款裁處,30000,,違反食安法第47條,medium,依第47條裁處 → 多源自第22/25/26/27條
38,李○洋,臺北市萬華區,茄子,112/6/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
39,李○立,臺北市大同區,青蒜,112/9/7,農藥(福多寧、亞托敏、凡殺同),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
40,李○緯,新北市中和區,白蘿蔔,112/4/7,農藥(達特南),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
41,東寶黑豬肉棧,臺北市松山區,東寶黑豬大腸300g,110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
42,林O地,臺北市萬華區,鴨,113/4/30,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
43,林O成,臺北市萬華區,冷凍白蝦,113/6/4,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
44,林O興,臺北市中正區,雞蛋,112/3/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
45,林○年,臺北市中山區,新興梨,110/7/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
46,林○玫,新北市中和區,桑椹,111/3/30,農藥(克福隆),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
47,林○良,新北市鶯歌區,秀珍菇,114/8/8,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
48,林○辰,臺北市萬華區,茄子,112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
49,林○進,臺北市萬華區,台灣豌豆莢,110/10/29,農藥(撲克拉、氟比來),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
50,林○長,新北市新莊區,包心白菜,109/12/30,農藥(百利普芬、因滅汀),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
51,林○香,臺北市萬華區,白蘿蔔,111/10/3,農藥(可尼丁),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
52,林王O花,新北市泰山區,台灣蚵,114/1/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
53,梁O成獸肉號,臺北市中山區,豬里肌肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
54,楊O勝,新北市新莊區,豬肉(台灣豬),112/7/25,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
55,楊○漢,新北市永和區,絲瓜,114/6/27,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
56,楊○漢(市招-3378連○琴),臺北市萬華區,三星青蔥,112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
57,楊○祥,臺北市大同區,蘋果,111/9/6,農藥(2，6-DIPN),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
58,歪歪賣水果,臺北市信義區歪歪賣水果,日本空運-桃色棉莓,112/1/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
59,江O民,臺北市萬華區,鴨蛋,111/3/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
60,江O華,臺北市中山區,阿德雞蛋紅殼蛋,111/11/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
61,江○怡,新北市三芝區,筊白筍,112/10/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
62,沈○銀,台北市中山區,小白菜,114/7/23,農藥(賽安勃),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
63,沈○雄,新北市板橋區,金桔,114/2/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
64,洪○輝,台北市大同區,竹笙,110/11/26,漂白劑、農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
65,游○羽,新北市板橋區,綠無籽葡萄,112/6/2,農藥(芬普尼),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
66,漁爸fish8生鮮專賣,臺北市內湖區,頂級生白蝦(850g/盒),110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
67,澄暘肉品,臺北市松山區,Choice特級美國板腱(排),110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
68,無市招(洪○興),臺北市文山區,鵝菜,111/11/9,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
69,無市招(賴○汝),臺北市萬華區,蚵白,111/11/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
70,無市招(賴○汝),臺北市萬華區,青江,110/11/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
71,無市招菜販(林○長),新北市三峽區,大白菜,109/12/30,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
72,王O銘,臺北市大安區,雞佛,111/7/26,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
73,王○,新北市蘆洲區,香才(芫荽),114/7/4,農藥(草脫淨),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
74,王○慧,新北市林口區,白蘿蔔,112/10/4,農藥(祿芬隆),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
75,王○旺,新北市板橋區,蜜棗,111/12/26,農藥(四氯異苯腈),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
76,王○發,新北市樹林區,酪梨,114/8/7,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
77,王○蓁,新北市新莊區,秋葵,114/4/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
78,王○達,新北市三峽區,粉蔥,111/3/29,農藥(氟派瑞),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
79,盧O修鮮魚號,臺北市中正區,冷凍生鮮白蝦,113/4/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
80,石○聖,新北市土城區,蓮霧,112/10/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
81,祥鈺水產,臺北市松山區,肥美大牡蠣時價600g現撈去殼實重不含水,110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
82,簡大廚,臺北市松山區,CHOICE特選級安格斯嫩肩板腱(燒烤片),110/6/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
83,粘○福,臺北市中山區,芒果,114/7/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
84,粘○福,臺北市中山區,四季豆(菜豆),113/7/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
85,翁○華,台北市萬華區,胡瓜,110/11/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
86,葉O養,臺北市萬華區,甲魚,113/10/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87,蓮貞豚,臺北市松山區,網室里肌肉片,110/7/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
88,蔡O春,臺北市文山區,鵝,115/2/4,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
89,蔡○呈,新北市新莊區,醜豆,114/3/27,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
90,蔬菜承銷人2526李○隆,臺北市中山區,韭菜,110/5/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
91,蕭○森,新北市土城區,帶葉金柑,114/2/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
92,蘇○文,新北市三峽區,娃娃菜,114/2/11,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
93,謝○枚,臺北市萬華區,茼蒿,113/1/16,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
94,賴○賢,新北市中和區,帶蒂甜豆(豌豆),111/9/1,農藥(護矽得),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
95,邵○勇,新北市三重區,特選甜豆(豌豆),111/6/1,農藥(可尼丁、脫芬瑞、賽速安),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
96,郭O治,臺北市萬華區,梅花肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
97,鄭O豐,臺北市中山區,肝連,112/3/21,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
98,鄭O豐,臺北市中山區,大腸頭-P244W(含備份),111/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
99,鄭○癸,新北市新莊區,絲瓜,111/5/30,農藥(芬佈賜),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
100,鄭○華,臺北市萬華區,菜豆,112/1/4,農藥(因得克、普拔克、加保扶、賽氟滅、依芬寧、愛殺松),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
101,重慶水果行4018劉○彩,臺北市萬華區,GrannySmith(紐西蘭青蘋果),111/11/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
102,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,烏骨雞,112/7/19,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
103,陳O玲,新北市三重區,烏魚,114/1/14,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
104,陳O鴻,臺北市松山區,雞胗,114/2/5,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
