名稱,地址,電話,傳真,服務時間
勞工處就業服務台,彰化市中興路100號1樓,(04)7532492,(04)7271993,08:00~17:00(午休12:00~13:00)
和美就業服務台,彰化縣和美鎮鹿和路六段337號(和美鎮公所內),(04)7568509,(04)7566553,08:00~17:00(午休12:00~13:00)
鹿港就業服務台,彰化縣鹿港鎮中正路531號1樓,(04)7840846,(04)7840848,08:00~17:00(午休12:00~13:00)
全興就業服務台,彰化縣伸港鄉興工路67號2樓(經濟部全興產業園區服務中心內2樓),(04)7977241,(04)7977243,08:00~17:00(午休12:00~13:00)
溪湖就業服務台,彰化縣溪湖鎮青雅路58號(溪湖鎮公所內),(04)8820716,(04)8820692,08:00~17:00(午休12:00~13:00)
田尾就業服務台,彰化縣田尾鄉饒平村公所路201號(田尾鄉公所內),(04)8836577,(04)8836576,08:00~17:00(午休12:00~13:00)
二林就業服務台,彰化縣二林鎮斗苑路四段636號(二林鎮公所前),(04)8969657,(04)8969664,08:00~17:00(午休12:00~13:00)
田中就業服務台,彰化縣田中鎮明慶街158號(田中地政事務所內),(04)8757001,(04)8756990,08:00~17:00(午休12:00~13:00)
彰化縣銀髮人才服務據點,彰化縣彰化市長壽街189號1樓,(04)7285155,(04)7285619,08:00~17:00(午休12:00~13:00)
南投縣銀髮人才服務據點,南投縣南投市復興路98-3號,(049)2245580,(049)2245560,08:00~17:30(午休12:00~13:30)
雲嘉南分署,臺南市官田區二鎮里工業路40號,(06)6985945,(06)6990545,08:00~17:00
臺南就業中心,臺南市東區衛民街19號,(06)2371218,(06)2346522,08:00~17:00(12:00~13:00，值班人員服務)
永康就業中心,臺南市永康區東橋里東橋二街18號,(06)2038560,(06)2038502,08:00~17:00(12:00~13:00，值班人員服務)
新營就業中心,臺南市新營區中正路102之3號,(06)6328700,(06)6321423,08:00~17:00(12:00~13:00，值班人員服務)
嘉義就業中心,嘉義市興業東路267號,(05)2240656,(05)2229415,08:00~17:00(12:00~13:00，值班人員服務)
朴子就業中心,嘉義縣朴子市嘉朴路西段87及89號,(05)3621632,(05)3621634,08:00~17:00(12:00~13:00，值班人員服務)
虎尾就業中心,雲林縣虎尾鎮文化路64號,(05)6330422,(05)6330425,08:00~17:00(12:00~13:00，值班人員服務)
斗六就業中心,雲林縣斗六市上海路222之1號,(05)5325105,(05)5345609,08:00~17:00(12:00~13:00，值班人員服務)
青年職涯發展中心(YS),台南市中西區北門路一段173號,(06)3020036,(06)3020036,08:30~17:30(12:00~13:00，值班人員服務)
雲嘉南區銀髮人才資源中心,臺南市東區長榮路一段181號4樓,(06)2751717,(06)2752727,08:00~17:00(12:00~13:00
安平就業服務台,臺南市南區中華西路一段67號,(06)2638438,(06)2617903,08:00~17:00(午休12:00~13:00)
關廟就業服務台,臺南市關廟區香洋里中正路998號,(06)5959298,(06)5959298,08:00~17:00(午休12:00~13:00)
將軍就業服務台,臺南市將軍區忠嘉?忠興190號1?,(06)7945082,(06)7945082,08:00~17:00(午休12:00~13:00)
安定就業服務台,臺南市安定區安定里59之2號,(06)5975508,(06)5975508,08:00~17:00(午休12:00~13:00)
楠西就業服務台,臺南市楠西區楠西里中正路230號,(06)5752114,(06)5752114,08:00~17:00(午休12:00~13:00)
南化就業服務台,臺南市南化區南化里172之1號,(06)5773179,(06)5773179,08:00~17:00(午休12:00~13:00)
仁德就業服務台,臺南市仁德區中正路三段5號,(06)2705650,(06)2705650,08:00~17:30(午休12:00~13:30)
西港就業服務台,臺南市西港區文化路1號,(06)7959308,(06)7959308,08:00~17:30(午休12:00~13:30)
新化就業服務台,臺南市新化區中山路130號,(06)5801241,(06)5801241,08:00~17:30(午休12:00~13:30)
善化就業服務台,臺南市善化區建國路194號,(06)5834670,(06)5834670,08:00~17:30(午休12:00~13:30)
山上就業服務台,臺南市山上區南洲里325號,(06)5784485,(06)5784485,08:00~17:00(午休12:00~13:00)
大內就業服務台,臺南市大內區大內里1號,(06)5764462,(06)5764462,每週二、週四08:00~17:00(午休12:00~13:00)
玉井就業服務台,臺南市玉井區中正路7號,(06)5744680,(06)5744680,08:00~17:00(午休12:00~13:00)
南科就業服務台,臺南市新市區南科三路26號3樓B室,(06)5051411,(06)5052769,08:00~17:00(午休12:00~13:00)
麻豆就業服務台,臺南市麻豆區東角里忠孝路250號,(06)5715146,(06)5715146,08:00~17:00(午休12:00~13:00)
後壁就業服務台,臺南市後壁區後壁?129號,(06)6851107,(06)6851107,08:00~17:00(午休12:00~13:00)
學甲就業服務台,臺南市學甲區華宗路313號,(06)7824803,(06)7824803,08:00~17:00(午休12:00~13:00)
六甲就業服務台,臺南市六甲區中山路202號,(06)6988411,(06)6988411,08:00~17:00(午休12:00~13:00)
鹽水就業服務台,臺南市鹽水區中山?47號,(06)6801714,(06)6801714,08:00~17:00(午休12:00~13:00)
柳營就業服務台,臺南市柳營區柳營路二段59號,(06)6223160,(06)6223160,08:00~17:00(午休12:00~13:00)
下營就業服務台,臺南市下營區中山路一段170號,(06)6890472,(06)6890472,08:00~17:00(午休12:00~13:00)
民雄就業服務台,嘉義縣民雄鄉中樂村文化路7號,(05)2062635,(05)2062635,08:00~17:00(午休12:00~13:00)
中埔就業服務台,嘉義縣中埔鄉中埔村128號,(05)2534208,(05)2537912,08:00~17:00(午休12:00~13:00)
大林就業服務台,嘉義縣大林鎮平林里18鄰新興街116號,(05)2657941,(05)2657941,08:00~17:00(午休12:00~13:00)
阿里山就業服務台,嘉義縣阿里山鄉樂野村2鄰69號,(05)2561562,(05)2561562,08:00~17:00(午休12:00~13:00)
竹崎就業服務台,嘉義縣竹崎鄉中山路59號,(05)2613922,(05)2613922,08:00~17:00(午休12:00~13:00)
溪口就業服務台,嘉義縣溪口鄉溪北村中山路89號,(05)2694635,(05)2694635,08:00~17:00(午休12:00~13:00)
六腳就業服務台,嘉義縣六腳鄉蒜頭村73號,(05)3801509,(05)3801509,08:00~17:00(午休12:00~13:00)
布袋就業服務台,嘉義縣布袋鎮興中里自由路2號,(05)3470423,(05)3470423,08:00~17:00(午休12:00~13:00)
東石就業服務台,嘉義縣東石鄉東石村3之5號,(05)3733412,(05)3733412,08:00~17:00(午休12:00~13:00)
義竹就業服務台,嘉義縣義竹鄉仁里村389號,(05)3411907,(05)3411907,08:00~17:00(午休12:00~13:00)
鹿草就業服務台,嘉義縣鹿草鄉馬稠後園區二路20號,(05)3750062,(05)3750062,08:00~17:00(午休12:00~13:00)
新港就業服務台,嘉義縣新港鄉新民路176號,(05)3744581,(05)3744581,08:00~17:00(午休12:00~13:00)
水上就業服務台,嘉義縣水上鄉柳新村柳子林66號,(05)2685309,(05)2689014,08:00~17:00(午休12:00~13:00)
北港就業服務台,雲?縣?港鎮光明?39 號（?港?政辦公室）,(05)7835644,(05)7820012,08:00~17:00(午休12:00~13:00)
麥寮就業服務台,雲林縣麥寮鄉麥津村中興路119號,(05)6938422,(05)6938422,08:00~17:30(午休12:00~13:30)
口湖就業服務台,雲林縣口湖鄉湖東村中正路一段118號,(05)7891779,(05)7891779,08:00~17:30(午休12:00~13:30)
褒忠就業服務台,雲林縣褒忠鄉中正路451號,(05)6977562,(05)6977562,08:00~17:30(午休12:00~13:30)
元長就業服務台,雲林縣元長鄉長南村元南路17號,(05)7884489,(05)7884489,08:00~17:30(午休12:00~13:30)
土庫就業服務台,雲林縣土庫鎮石廟里中興路175號,(05)6620468,(05)6620468,08:00~17:30(午休12:00~13:30)
臺西就業服務台,雲林縣台西鄉五港村中央路412號,(05)6980469,(05)6980469,08:00~17:00(午休12:00~13:00)
大埤就業服務台,雲林縣大埤鄉北和村中山路8號,(05)5915484,(05)5915484,08:00~17:30(午休12:00~13:30)
斗南就業服務台,雲林縣斗南鎮文昌路200號,(05)5953484,(05)5953484,08:00~17:30(午休12:00~13:30)
莿桐就業服務台,雲林縣莿桐鄉和平路53之3號,(05)5841853,(05)5841853,08:00~17:30(午休12:00~13:30)
崙背就業服務台,雲林縣崙背鄉東明村行政街1號,(05)6960002,(05)6960002,08:00~17:30(午休12:00~13:30)
林內就業服務台,雲林縣林內鄉林中村中正路340號,(05)5890509,(05)5890509,08:00~17:30(午休12:00~13:30)
古坑就業服務台,雲林縣古坑鄉中山路40號,(05)5822840,(05)5822840,08:00~17:30(午休12:00~13:30)
二崙就業服務台,雲林縣二崙鄉崙西村中興路5號,(05)5980889,(05)5980889,08:00~17:30(午休12:00~13:30)
西螺就業服務台,雲林縣西螺鎮廣福里民生路20號,(05)5881103,(05)5881103,08:00~17:30(午休12:00~13:30)
臺南市政府勞工局職訓就服中心,臺南市新營區民治路36號(民治市政中心世紀大樓10樓),(06)6330820,(06)6333022,08:00~17:30
民治就業服務台,臺南市新營區民治路36號(民治市政中心世紀大樓10樓),(06)6330820,(06)6333022,08:00~17:30(午休12:00~13:30)
官田就業服務台,臺南市官田區二鎮里工業路21號,(06)6990302,(06)6935117,08:00~17:00(午休12:00~13:00)
歸仁就業服務台,臺南市歸仁區中山路二段2號(歸仁區公所後棟),(06)3300948,(06)3307292,08:00~17:30(午休12:00~13:30)
新市就業服務台,臺南市新市區新市里中興街12號(新市區公所3樓),(06)5892322,(06)5892324,08:00~17:30(午休12:00~13:30)
佳里就業服務台,臺南市佳里區中山路417號(佳里地政事務所1樓),(06)7236701,(06)7236703,08:00~17:30(午休12:00~13:30)
永華就業服務台,臺南市安平區永華路二段6號(永華市政中心8樓),(06)2930785,(06)2930786,08:00~17:30(午休12:00~13:30)
臺南科技工業區就服務台,臺南市安南區科技公園大道1號,(06)3840346,(06)3842025,08:00~17:00(午休12:00~13:00)
東區就業服務台,臺南市東區崇學路100號,(06)2680622,(06)2687557,08:00~17:30(午休12:00~13:30)
南區就業服務台,臺南市南區明興路2號,(06)2910126,(06)2918042,08:00~17:30(午休12:00~13:30)
中西區就業服務台,臺南市中西區開山路1號,(06)2267151,(06)2235708,08:00~17:30(午休12:00~13:30)
安平區就業服務台,臺南市安平區育平路316號,(06)2951915,(06)2954132,08:00~17:30(午休12:00~13:30)
安南區就業服務台,臺南市安南區安中路二段308號,(06)2567126,(06)2454877,08:00~17:30(午休12:00~13:30)
左鎮就業服務台,臺南市左鎮區中正里176-19號,(06)5731774,(06)5731182,08:00~17:00(午休12:00~13:00)
和順、總頭寮工業區就業服務台,臺南市安南區安和路二段98號(東陽實業),(06)3563883,(06)3563661,08:00~17:00(午休12:00~13:00)
樹谷園區就業服務台,臺南市新市區中心路8號(樹谷園區服務中心1樓),(06)5895432,(06)5894697,08:00~17:00(午休12:00~13:00)
臺南市銀髮人才服務據點,臺南市善化區民族路1號,(06)5832516,(06)5832913,08:00~17:30(午休12:00~13:30)
嘉義縣政府勞工暨青年發展處,嘉義縣太保市祥和新村祥和一路東段1號,(05)3620123,(05)3621272,08:00~17:00
嘉義縣政府就業服務台,嘉義縣太保市祥和新村祥和一路東段1號,(05)3621165,(05)3621272,08:00~17:00(午休12:00~13:00)
嘉義縣銀髮人才服務據點,嘉義縣民雄鄉保生街186號,(05)2265186,(05)2265186,08:00~17:00(午休12:00~13:00)
嘉義市銀髮人才服務據點,嘉義市新民路300號2樓,(05)2850268,(05)2850275,08:00~17:00(午休12:00~13:00)
雲林縣銀髮人才服務據點,雲林縣虎尾鎮林森路1段426號1樓,(05)6329191,(05)6365191,08:00~17:00(午休12:00~13:00)
高屏澎東分署,高雄市前鎮區凱旋四路105號,(07)8210171,(07)8127209,08:00~17:00
屏東就業中心,屏東市復興路446號,(08)7559955,(08)7532009,08:00~17:00(12:00~13:00，值班人員服務)
潮州就業中心,屏東縣潮州鎮昌明路98號,(08)7882214,(08)7889634,08:00~17:00(12:00~13:00，值班人員服務)
臺東就業中心,臺東市博愛路356號,(089)357126,(089)357110,08:00~17:00(12:00~13:00，值班人員服務)
澎湖就業中心,澎湖縣馬公市水源路52號,(06)9271207,(06)9261985,08:00~17:00(12:00~13:00，值班人員服務)
青年職涯發展中心(YouthSalon),高雄市前金區五福三路21號8樓,(07)2313232,(07)2416562,每週二至週日09:00~18:00(12:00~13:00，值班人員服務)
高屏澎東區銀髮人才資源中心,高雄市苓雅區中正一路306號2樓,(07)7252586,(07)7252587,08:00~17:00(12:00~13:00，值班人員服務)
人才資源發展中心,高雄市岡山區岡燕路347號,(07)6220253,(07)6224485,08:00~17:00(12:00~13:00，值班人員服務)
岡山就業中心(委辦),高雄市岡山區民有路27號,(07)6228321,(07)6228700,08:00~17:30(12:00~13:30，值班人員服務)
鳳山就業中心(委辦),高雄市鳳山區中山西路235號,(07)7410243,(07)7410214,08:00~17:30(12:00~13:30，值班人員服務)
那瑪夏就業服務台(委辦),高雄市那瑪夏區達卡努瓦里大光巷230號,(07)6701275,(07)6701171,08:00~17:30(午休12:00~13:30)
桃源就業服務台(委辦),高雄市桃源區桃源里北進巷1號,(07)6861336,(07)6861004,08:00~17:30(午休12:00~13:30)
茂林就業服務台(委辦),高雄市茂林區茂林里8-3號,(07)6801385,(07)6801385,08:00~17:00(午休12:00~13:00)
大樹就業服務台(委辦),高雄市大樹區龍目路158號2樓,(07)6529406,(07)6524081,08:00~17:30(午休12:00~13:30)
甲仙就業服務台(委辦),高雄市甲仙區和安里中山路50號,(07)6751744,(07)6753103,08:00~17:30(午休12:00~13:30)
六龜就業服務台(委辦),高雄市六龜區民治路18號,(07)6892488,(07)6893501,08:00~17:30(午休12:00~13:30)
大社就業服務台(委辦),高雄市大社區大社里自強街1號,(07)3539044,(07)3533801,08:00~17:30(午休12:00~13:30)
林園就業服務台(委辦),高雄市林園區王公路1號1樓,(07)6466185,(07)6415235,08:00~17:30(午休12:00~13:30)
美濃就業服務台(委辦),高雄市美濃區合和里美中路260號,(07)6820711,(07)6818405,08:00~17:30(午休12:00~13:30)
茄萣就業服務台(委辦),高雄市茄萣區濱海路四段27號,(07)6909738,(07)6922408,08:00~17:30(午休12:00~13:30)
橋頭就業服務台(委辦),高雄市橋頭區隆豐路1號,(07)6126883,(07)6114125,08:00~17:30(午休12:00~13:30)
杉林就業服務台(委辦),高雄市杉林區上平里山仙路6號,(07)6774420,(07)6772874,08:00~17:30(午休12:00~13:30)
內門就業服務台(委辦),高雄市內門區內門里內門20號,(07)6674851,(07)6674780,08:00~17:30(午休12:00~13:30)
梓官就業服務台(委辦),高雄市梓官區梓官路258號,(07)6194849,(07)6170414,08:00~17:30(午休12:00~13:30)
阿蓮就業服務台(委辦),高雄市阿蓮區民生路94號,(07)6315428,(07)6312021,08:00~17:30(午休12:00~13:30)
湖內就業服務台(委辦),高雄市湖內區中正路二段77號,(07)6992271,(07)6995601,08:00~17:30(午休12:00~13:30)
彌陀就業服務台(委辦),高雄市彌陀區彌仁里中華路4號,(07)6194850,(07)6193130,08:00~17:30(午休12:00~13:30)
大埔就業服務台,屏東市忠孝路64號,(08)7328711,(08)7328711,08:00~17:00(午休12:00~13:00)
內埔就業服務台,屏東縣內埔鄉文化路183號,(08)7691176,(08)7691176,08:00~17:00(午休12:00~13:00)
新園就業服務台,屏東縣新園鄉仙吉村仙吉路148號,(08)8684386,(08)8687698,08:00~17:00(午休12:00~13:00)
高樹就業服務台,屏東縣高樹鄉興中路329號,(08)7966283,(08)7965947,08:00~17:00(午休12:00~13:00)
鹽埔就業服務台,屏東縣鹽埔鄉鹽南村勝利路32號(鹽埔鄉公所),(08)7936751,(08)7937125,08:00~17:00(午休12:00~13:00)
萬巒就業服務台,屏東縣萬巒鄉萬和村褒忠路9號(農會),(08)7814059,(08)7814059,08:00~17:00(午休12:00~13:00)
泰武就業服務台,屏東縣泰武鄉佳平村169號,(08)7834859,(08)7834958,08:00~17:00(午休12:00~13:00)
瑪家就業服務台,屏東縣瑪家鄉北葉村風景巷85號,(08)7992917,(08)7991031,08:00~17:00(午休12:00~13:00)
里港就業服務台,屏東縣里港鄉過江路43之1號1樓(里港鄉圖書館),(08)7759457,(08)7759457,每週二至週六9:00-18:00(午休13:00-14:00)
九如就業服務台,屏東縣九如鄉九如路二段416號(九如鄉公所1樓),(08)7396002,(08)7392453,08:00~17:00(午休12:00~13:00)
萬丹就業服務台,屏東縣萬丹鄉萬後村和平西路155號(鄉公所),(08)7764741,(08)7773138,08:00~17:00(午休12:00~13:00)
麟洛就業服務台,屏東縣麟洛鄉中山路158號,(08)7213962,(08)7220500,08:00~17:00(午休12:00~13:00)
霧臺就業服務台,屏東縣霧臺鄉霧台村神山巷73號,(08)7902150,(08)7902396,每週二、週四8:00~17:00(午休12:00~13:00)
霧臺台百合部落據點,屏東縣霧臺鄉百合路202號(百合部落園區),(08)7610227,(08)7610226,每週一、週三與週五8:00~17:00(午休12:00~13:00)
三地門就業服務台,屏東縣三地門鄉三地村中正路二段100號(鄉公所),(08)7992918,(08)7993925,08:00~17:00(午休12:00~13:00)
長治就業服務台,屏東縣長治鄉進興村潭頭路1號(長治鄉公所),(08)7360481,(08)7378453,08:00~17:00(午休12:00~13:00)
恆春就業服務台,屏東縣恆春鎮城南里天文路1號,(08)8896481,(08)8897902,08:00~17:30(午休12:00~13:30)
琉球就業服務台,屏東縣琉球鄉上福村中興路39號2樓(社會福利服務中心),(08)8611612,(08)8612661,08:00~17:00(午休12:00~1300)
車城就業服務台,屏東縣車城鄉福興村中山路15號2樓,(08)8821509,(08)8822498,08:00~17:00(午休12:00~13:00)
枋山就業服務台,屏東縣枋山鄉枋山村枋山路82號,(08)8761879,(08)8761555,08:00~17:00(午休12:00~13:00)
滿州就業服務台,屏東縣滿州鄉滿州村中山路43號,(08)8802484,(08)8802075,08:00~17:00(午休12:00~13:00)
牡丹就業服務台,屏東縣牡丹鄉石門村2鄰石門路18號2樓,(08)8831400,(08)8831400,08:00~17:00(午休12:00~13:00)
獅子就業服務台,屏東縣獅子鄉楓林村2巷26號,(08)8771135,(08)8770907,08:00~17:00(午休12:00~13:00)
春日就業服務台,屏東縣春日鄉春日村春日路13號(春日社區活動中心),(08)8787059,(08)8787059,08:00~17:00(午休12:00~13:00)
東港就業服務台,屏東縣東港鎮新勝里新勝街10號,(08)8310710,(08)8327315,08:00~17:00(午休12:00~13:00)
林邊就業服務台,屏東縣林邊鄉光林村和平路53號,(08)8758061,(08)8751009,08:00~17:00(午休12:00~13:00)
竹田就業服務台,屏東縣竹田鄉竹田村中正路123號,(08)7712960,(08)7712481,08:00~17:00(午休12:00~13:00)
佳冬就業服務台,屏東縣佳冬鄉佳冬村文化三路157號(佳冬鄉圖書館),(08)8670502,(08)8669051,每週二至週六08:00~17:00(午休12:00~13:00)
南州就業服務台,屏東縣南州鄉仁里村仁里路11號,(08)8644358,(08)8645690,08:00~17:00(午休12:00~13:00)
新埤就業服務台,屏東縣新埤鄉新埤村中正路40號,(08)7972972,(08)7973133,08:00~17:00(午休12:00~13:00)
崁頂就業服務台,屏東縣崁頂鄉崁頂村中正路230號1樓,(08)8630319,(08)8631882,08:00~17:30(午休12:00~13:30)
來義就業服務台,屏東縣來義鄉古樓村中正路94號,(08)7850886,(08)7851431,08:00~17:00(午休12:00~13:00)
延平就業服務台,臺東縣延平鄉桃源村1鄰昇平路1號,(089)561460,(08)7850554,夏令08:00~17:30(午休12:00~13:30);冬令08:00~17:00(午休12:00~13:00)
鹿野就業服務台,臺東縣鹿野鄉瑞隆村瑞景路一段21號,(089)581006,(089)580110,08:00~17:00(午休12:00~13:00)
關山就業服務台,臺東縣關山鎮中山路54號,(089)813302,(089)811847,08:00~17:00(午休12:00~13:00)
海端就業服務台,臺東縣海端鄉海端村4鄰山界43號,(089)931809,(089)931296,08:00~17:00(午休12:00~13:00)
池上就業服務台,臺東縣池上鄉大埔村大埔49之1號(池上鄉立圖書館),(089)863457,(089)863891,08:00~17:30(午休12:00~13:30)
東河就業服務台,臺東縣東河鄉東河村11鄰南東河311號,(089)896463,(089)896378,08:00~17:00(午休12:00~13:00)
成功就業服務台,臺東縣成功鎮中山路176號,(089)853146,(089)853036,08:00~17:00(午休12:00~13:00)
長濱就業服務台,臺東縣長濱鄉長濱村285之1號(長濱天主堂),(089)830260,(089)830260,08:00~17:00(午休12:00~13:00)
太麻里就業服務台,臺東縣太麻里鄉泰和村民權路58號,(089)780520,(089)782901,08:00~17:00(午休12:00~13:00)
金峰就業服務台,臺東縣金峰鄉嘉蘭村4鄰166號,(089)751138,(089)751129,08:00~17:00(午休12:00~13:00)
大武就業服務台,臺東縣大武鄉尚武村政通三街5號,(089)792051,(089)792710,08:00~17:00(午休12:00~13:00)
達仁就業服務台,臺東縣達仁鄉安朔村9鄰復興路14號,(089)702840,(089)702360,08:00~17:00(午休12:00~13:00)
蘭嶼就業服務台,臺東縣蘭嶼鄉紅頭村31號,(089)731722,(089)732645,08:00~17:00(午休12:00~13:00)
綠島就業服務台,臺東縣綠島鄉南寮村192-2號(鄉民代表會),(089)672275,(089)671108,08:00~17:00(午休12:00~13:00)
白沙就業服務台,澎湖縣白沙鄉赤崁漁港新村20-1號(老人活動中心),(06)9933780,(06)9933780,08:00~17:00(午休12:00~13:00)
湖西就業服務台,澎湖縣湖西鄉湖西村43-11號(湖西鄉公所),(06)9921499,(06)9921499,08:00~17:00(午休12:00~13:00)
西嶼就業服務台,澎湖縣西嶼鄉赤馬村54號(舊赤馬活動中心),(06)9982354,(06)9982354,08:00~17:00(午休12:00~13:00)
望安就業服務台,澎湖縣望安鄉西安村36-7號(望安鄉衛生所),(06)9991152,(06)9991152,08:00~17:00(午休12:00~13:00)
七美就業服務台,澎湖縣七美鄉南港村11鄰1-2號(七美加油站),(06)9971832,(06)9971832,08:00~16:00(中午無休息)
高雄市政府勞工局訓練就業中心,高雄市鹽埕區中正四?274號5?(原高雄國際會議中心),(07)7330823,(07)7330249,08:00~17:30
三民就業服務站,高雄市三民區大順二路468號10樓(三民區民眾活動中心內),(07)3837191,(07)3833421,08:00~17:30(12:00~13:30，值班人員服務)
前鎮就業服務站,高雄市前鎮區鎮中路6號1樓(高雄市勞工行政中心1樓，近前鎮高中捷運站),(07)8220790,(07)8224112,08:00~17:30(12:00~13:30，值班人員服務)
成功就業服務站,高雄市前金區五福三路80號6樓(土地銀行旁),(07)5509848,(07)5509130,08:00~17:30(12:00~13:30，值班人員服務)
楠梓就業服務站,高雄市楠梓區學專路777號2樓(後勁活動中心),(07)3609521,(07)3609523,08:00~17:30(12:00~13:30，值班人員服務)
鳥松就業服務台,高雄市鳥松區中正路98號(鳥松區公所內),(07)7331824,(07)7331804,08:00~17:30(午休12:00~13:30)
旗山就業服務台,高雄市旗山區延平一路495號2樓(高雄市稅捐處旗山分處內),(07)6623656,(07)6623665,08:00~17:30(午休12:00~13:30)
旗津就業服務台,高雄市旗津區旗津三路2號1樓(旗津行政中心),(07)5712706,(07)5715034,09:00~17:30(午休12:00~13:30)
大寮就業服務台,高雄市大寮區捷西路300號(高雄捷運大寮站2號出口2樓),(07)7825009,(07)7825008,08:00~17:30(午休12:00~13:30)
燕巢就業服務台,高雄市燕巢區中安路1號(燕巢區公所內),(07)6162810,(07)6162704,08:00~17:30(午休12:00~13:30)
永安就業服務台,高雄市永安區永工二路1號(永安工業區服務中心前),(07)6245031,(07)6245033,每週二、週四08:00~17:30(午休12:00~13:30)
前鎮就業服務台,高雄市前鎮區高雄加工區中六路與環區一路口(瑞儀光電斜對面),(07)8418227,(07)8231361,08:00~17:00(午休12:00~13:00)
仁武就業服務台,高雄市仁武區工業二路3號(仁大工業區服務中心內),(07)3749554,(07)3749549,08:00~17:00(午休12:00~13:00)
楠梓就業服務台,高雄市楠梓區新建南路8號3樓(楠梓科技產業園區第6號出入口),(07)3640508,(07)3650524,08:00~17:00(午休12:00~13:00)
路竹就業服務台,高雄市路竹區國昌路76號(路竹區公所內),(07)6071047,(07)6071054,08:00~17:30(午休12:00~13:30)
本洲就業服務台,高雄市岡山區本工路17號(岡山本洲工業區服務中心內),(07)6246155,(07)6246156,每週一、週三與週五08:00~17:30(午休12:00~13:30)
高雄市銀髮人才服務據點,高雄市前鎮區翠亨北路225號(高雄捷運前鎮高中站地下一層，近1號出口),(07)8217750,(07)8217760,08:00~17:30(午休12:00~13:30)
北高雄銀髮人才服務據點,高雄市岡山區大遼里9鄰捷安路16號（高雄捷運岡山高醫站1樓，1號出口旁）,(07)6250351,(07)6250352,08:00~17:30(午休12:00~13:30)
高雄市原住民族就業服務據點,高雄市前鎮區翠亨北路390號4樓,(07)8414712,(07)8411697,每週一、週五08:00~17:30(午休12:00~13:30)
屏東縣政府勞動暨青年發展處,屏東市自由路17號,(08)7558048,(08)7515390,08:00~17:00
屏東就業服務台,屏東市自由路17號1樓,(08)7534984,(08)7517812,08:00~17:00(午休12:00~13:00)
枋寮就業服務台,屏東縣枋寮鄉德興街183號,(08)8780002,(08)8780027,08:00~17:00(12:00~13:00，值班人員服務)
屏東縣銀髮人才服務據點,屏東市自由路17號1樓,(08)7327596,(08)7327596,08:00~17:00(午休12:00~13:00)
屏東原住民族就業服務據點,屏東縣來義鄉來新路8號,(08)7870021,(08)7870031,08:00~17:00(午休12:00~13:00)
臺東縣政府杜會處,臺東縣臺東市桂林北路201號,(089)328254,(089)341296,08:00~17:00
臺東縣銀髮人才服務據點,臺東縣臺東市更生路211號,(089)333603,(089)333603,08:00~17:00(午休12:00~13:00)
