年度,統計月份,轄區,行業別,案件數（數量）
107,1~12月,臺北市,農、林、漁、牧業,13
107,1~12月,臺北市,礦業及土石採取業,5
107,1~12月,臺北市,製造業,214
107,1~12月,臺北市,電力及燃氣供應業,4
107,1~12月,臺北市,用水供應及污染整治業,24
107,1~12月,臺北市,營造業,166
107,1~12月,臺北市,批發及零售業,1287
107,1~12月,臺北市,運輸及倉儲業,202
107,1~12月,臺北市,住宿及餐飲業,619
107,1~12月,臺北市,資訊及通訊傳播業,340
107,1~12月,臺北市,金融及保險業,180
107,1~12月,臺北市,不動產業,140
107,1~12月,臺北市,專業、科學及技術服務業,374
107,1~12月,臺北市,支援服務業,559
107,1~12月,臺北市,公共行政及國防；強制性社會安全,16
107,1~12月,臺北市,教育服務業,125
107,1~12月,臺北市,醫療保健及社會工作服務業,157
107,1~12月,臺北市,藝術、娛樂及休閒服務業,86
107,1~12月,臺北市,其他服務業,496
108,1~12月,臺北市,農、林、漁、牧業,1
108,1~12月,臺北市,礦業及土石採取業,1
108,1~12月,臺北市,製造業,177
108,1~12月,臺北市,電力及燃氣供應業,3
108,1~12月,臺北市,用水供應及污染整治業,20
108,1~12月,臺北市,營造業,197
108,1~12月,臺北市,批發及零售業,1258
108,1~12月,臺北市,運輸及倉儲業,211
108,1~12月,臺北市,住宿及餐飲業,587
108,1~12月,臺北市,資訊及通訊傳播業,382
108,1~12月,臺北市,金融及保險業,189
108,1~12月,臺北市,不動產業,140
108,1~12月,臺北市,專業、科學及技術服務業,311
108,1~12月,臺北市,支援服務業,625
108,1~12月,臺北市,公共行政及國防；強制性社會安全,22
108,1~12月,臺北市,教育服務業,137
108,1~12月,臺北市,醫療保健及社會工作服務業,150
108,1~12月,臺北市,藝術、娛樂及休閒服務業,68
108,1~12月,臺北市,其他服務業,351
109,1~12月,臺北市,農、林、漁、牧業,6
109,1~12月,臺北市,礦業及土石採取業,0
109,1~12月,臺北市,製造業,235
109,1~12月,臺北市,電力及燃氣供應業,4
109,1~12月,臺北市,用水供應及污染整治業,20
109,1~12月,臺北市,營造業,187
109,1~12月,臺北市,批發及零售業,1320
109,1~12月,臺北市,運輸及倉儲業,191
109,1~12月,臺北市,住宿及餐飲業,748
109,1~12月,臺北市,資訊及通訊傳播業,349
109,1~12月,臺北市,金融及保險業,183
109,1~12月,臺北市,不動產業,162
109,1~12月,臺北市,專業、科學及技術服務業,379
109,1~12月,臺北市,支援服務業,692
109,1~12月,臺北市,公共行政及國防；強制性社會安全,28
109,1~12月,臺北市,教育服務業,151
109,1~12月,臺北市,醫療保健及社會工作服務業,191
109,1~12月,臺北市,藝術、娛樂及休閒服務業,117
109,1~12月,臺北市,其他服務業,255
110,1~12月,臺北市,農、林、漁、牧業,6
110,1~12月,臺北市,礦業及土石採取業,0
110,1~12月,臺北市,製造業,179
110,1~12月,臺北市,電力及燃氣供應業,4
110,1~12月,臺北市,用水供應及污染整治業,17
110,1~12月,臺北市,營造業,123
110,1~12月,臺北市,批發及零售業,1069
110,1~12月,臺北市,運輸及倉儲業,131
110,1~12月,臺北市,住宿及餐飲業,637
110,1~12月,臺北市,資訊及通訊傳播業,347
110,1~12月,臺北市,金融及保險業,148
110,1~12月,臺北市,不動產業,125
110,1~12月,臺北市,專業、科學及技術服務業,318
110,1~12月,臺北市,支援服務業,551
110,1~12月,臺北市,公共行政及國防；強制性社會安全,28
110,1~12月,臺北市,教育服務業,106
110,1~12月,臺北市,醫療保健及社會工作服務業,175
110,1~12月,臺北市,藝術、娛樂及休閒服務業,57
110,1~12月,臺北市,其他服務業,355
111,1~12月,臺北市,農、林、漁、牧業,2
111,1~12月,臺北市,礦業及土石採取業,1
111,1~12月,臺北市,製造業,183
111,1~12月,臺北市,電力及燃氣供應業,4
111,1~12月,臺北市,用水供應及污染整治業,19
111,1~12月,臺北市,營造業,140
111,1~12月,臺北市,批發及零售業,933
111,1~12月,臺北市,運輸及倉儲業,141
111,1~12月,臺北市,住宿及餐飲業,463
111,1~12月,臺北市,資訊及通訊傳播業,348
111,1~12月,臺北市,金融及保險業,129
111,1~12月,臺北市,不動產業,104
111,1~12月,臺北市,專業、科學及技術服務業,290
111,1~12月,臺北市,支援服務業,492
111,1~12月,臺北市,公共行政及國防；強制性社會安全,28
111,1~12月,臺北市,教育服務業,104
111,1~12月,臺北市,醫療保健及社會工作服務業,144
111,1~12月,臺北市,藝術、娛樂及休閒服務業,64
111,1~12月,臺北市,其他服務業,504
112,1~12月,臺北市,農、林、漁、牧業,3
112,1~12月,臺北市,礦業及土石採取業,0
112,1~12月,臺北市,製造業,153
112,1~12月,臺北市,電力及燃氣供應業,3
112,1~12月,臺北市,用水供應及污染整治業,19
112,1~12月,臺北市,營造業,125
112,1~12月,臺北市,批發及零售業,884
112,1~12月,臺北市,運輸及倉儲業,104
112,1~12月,臺北市,住宿及餐飲業,427
112,1~12月,臺北市,資訊及通訊傳播業,318
112,1~12月,臺北市,金融及保險業,155
112,1~12月,臺北市,不動產業,105
112,1~12月,臺北市,專業、科學及技術服務業,251
112,1~12月,臺北市,支援服務業,542
112,1~12月,臺北市,公共行政及國防；強制性社會安全,25
112,1~12月,臺北市,教育服務業,122
112,1~12月,臺北市,醫療保健及社會工作服務業,170
112,1~12月,臺北市,藝術、娛樂及休閒服務業,70
112,1~12月,臺北市,其他服務業,892
113,1~12月,臺北市,農、林、漁、牧業,13
113,1~12月,臺北市,礦業及土石採取業,0
113,1~12月,臺北市,製造業,223
113,1~12月,臺北市,電力及燃氣供應業,5
113,1~12月,臺北市,用水供應及污染整治業,9
113,1~12月,臺北市,營造業,136
113,1~12月,臺北市,批發及零售業,946
113,1~12月,臺北市,運輸及倉儲業,122
113,1~12月,臺北市,住宿及餐飲業,433
113,1~12月,臺北市,資訊及通訊傳播業,314
113,1~12月,臺北市,金融及保險業,160
113,1~12月,臺北市,不動產業,122
113,1~12月,臺北市,專業、科學及技術服務業,315
113,1~12月,臺北市,支援服務業,626
113,1~12月,臺北市,公共行政及國防；強制性社會安全,16
113,1~12月,臺北市,教育服務業,107
113,1~12月,臺北市,醫療保健及社會工作服務業,180
113,1~12月,臺北市,藝術、娛樂及休閒服務業,57
113,1~12月,臺北市,其他服務業,729
