"統計期","勞工保險投保單位數[家]","勞工保險投保人數[人]","勞工保險給付件數[件]","勞工保險給付金額[千元]","市府推介就業服務/新登記求職人數[人]","市府推介就業服務/新登記求才人數[人]","市府推介就業服務/有效求職推介就業人數[人]","市府推介就業服務/有效求才僱用人數[人]","市府推介就業服務/求職就業率[%]","市府推介就業服務/求才利用率[%]","重大職業災害發生件數[件]","重大職業災害死亡人數[人]"
"101年 6月",104344,2259509,9617,2051453,4259,5791,2100,3956,49.31,68.31,2,2
"101年 7月",104411,2269580,10655,2495257,5307,5729,2391,3276,45.05,57.18,3,3
"101年 8月",104554,2263522,10636,2411495,5789,5486,2393,3360,41.34,61.25,1,1
"101年 9月",104719,2279414,10125,2390275,4928,5617,2241,3200,45.47,56.97,1,1
"101年 10月",104582,2272295,12798,4958051,4984,5924,2420,3804,48.56,64.21,0,0
"101年 11月",104429,2269427,16050,9632593,4923,7223,2279,3495,46.29,48.39,1,1
"101年 12月",104088,2248804,14322,7931054,4165,4757,2998,2315,71.98,48.67,1,1
"102年 1月",104039,2254280,16204,7232147,4635,4672,2110,3044,45.52,65.15,2,2
"102年 2月",104074,2238873,8325,2583429,3029,8854,1073,1453,35.42,16.41,1,1
"102年 3月",104212,2238245,11893,3449190,4719,5264,2389,2965,50.63,56.33,0,0
"102年 4月",104373,2234471,11046,3409973,3687,6032,1899,3404,51.51,56.43,0,0
"102年 5月",104454,2233191,11468,3452694,4123,7120,2111,3869,51.20,54.34,0,0
"102年 6月",104587,2225673,8962,2412526,3700,10001,1705,2843,46.08,28.43,0,0
"102年 7月",104682,2246014,10650,3117091,4273,5717,2184,3254,51.11,56.92,2,2
"102年 8月",104877,2247137,9511,2335221,3968,7513,1927,2890,48.56,38.47,1,1
"102年 9月",104862,2252499,9397,2322796,4081,4898,2049,2866,50.21,58.51,3,3
"102年 10月",104961,2259182,10624,2676742,3996,5976,1836,2479,45.95,41.48,1,1
"102年 11月",105186,2265622,9401,2187137,3933,5773,1708,2490,43.43,43.13,1,1
"102年 12月",104938,2263359,10050,2191063,3022,5654,1119,2086,37.03,36.89,0,0
"103年 1月",105063,2269849,9459,2333480,3473,4970,1430,2297,41.17,46.22,0,0
"103年 2月",105199,2260920,7040,1539036,3206,5236,1496,2387,46.66,45.59,2,2
"103年 3月",105273,2259408,11093,2510370,3845,7447,1876,3842,48.79,51.59,2,2
"103年 4月",105557,2265964,10409,2534667,3908,7915,1951,3286,49.92,41.52,1,1
"103年 5月",105679,2270288,10482,2351673,3535,8044,2060,5126,58.27,63.72,1,1
"103年 6月",105857,2261041,9404,2139877,3581,9644,1796,4986,50.15,51.70,1,1
"103年 7月",106032,2288749,10615,2442272,3992,6151,2069,4425,51.83,71.94,2,2
"103年 8月",106251,2287224,10040,2334485,4311,5461,1875,3138,43.49,57.46,1,1
"103年 9月",106385,2299033,10446,2285695,4121,7940,1639,2810,39.77,35.39,0,0
"103年 10月",106513,2310879,10703,2478587,3686,6139,1584,3087,42.97,50.29,3,3
"103年 11月",106666,2317263,9586,2048963,3767,14373,1708,3683,45.34,25.62,2,2
"103年 12月",106433,2301725,10867,2334294,3340,4978,1404,2731,42.04,54.86,0,0
"104年 1月",106526,2313985,9946,2445244,4158,4407,2076,2800,49.93,63.54,3,3
"104年 2月",106715,2299469,7457,1507565,2910,4191,1345,1993,46.22,47.55,4,0
"104年 3月",106792,2299791,11385,2465047,4425,8174,2422,5994,54.73,73.33,4,3
"104年 4月",107024,2305233,10411,2588041,3294,7249,1834,5606,55.68,77.33,2,1
"104年 5月",107317,2308053,9906,2396300,3742,6326,2136,4152,57.08,65.63,5,3
"104年 6月",107314,2294601,9829,2337105,3992,12300,2385,8246,59.74,67.04,2,1
"104年 7月",107532,2326093,10801,2944516,3768,4903,1903,4511,50.50,92.00,5,3
"104年 8月",107667,2322943,9674,2447303,3946,7034,1640,3063,41.56,43.55,4,3
"104年 9月",107813,2338917,9692,2309177,3861,5273,2208,4687,57.19,88.89,3,3
"104年 10月",107949,2353065,10393,2697761,4296,9351,1779,7572,41.41,80.98,5,4
"104年 11月",108039,2359509,10035,2338619,3899,8319,1950,3987,50.01,47.93,1,0
"104年 12月",107763,2342920,10636,2468316,4299,6098,1978,6092,46.01,99.90,0,0
"105年 1月",107844,2349366,10648,2874711,4938,8100,2872,4108,58.16,50.72,2,1
"105年 2月",107950,2341346,6796,1477947,3750,9786,1812,2944,48.32,30.08,1,0
"105年 3月",107947,2348509,12366,3003672,6329,8388,3639,5263,57.50,62.74,0,0
"105年 4月",108023,2358362,10358,2720684,4864,12001,2776,5399,57.07,44.99,2,2
"105年 5月",108103,2357653,11000,2709363,4517,7810,2461,5309,54.48,67.98,1,1
"105年 6月",108113,2335184,9911,2664983,4600,7078,2520,5395,54.78,76.22,2,2
"105年 7月",108206,2354933,10097,2774071,4150,10446,1795,4657,43.25,44.58,1,0
"105年 8月",108362,2349195,11280,2778034,5059,7376,2750,5050,54.36,68.47,2,2
"105年 9月",108512,2362880,8986,2342664,4006,6263,2101,4930,52.45,78.72,1,1
"105年 10月",108608,2369809,10531,2642752,4035,7719,2416,4496,59.88,58.25,3,2
"105年 11月",108649,2376435,10599,2518943,4342,7008,2852,5884,65.68,83.96,0,0
"105年 12月",108517,2362347,10622,2791624,4061,5991,1652,4689,40.68,78.27,1,1
"106年 1月",108480,2359384,9208,2849438,3806,7598,1771,4340,46.53,57.12,0,0
"106年 2月",108597,2362557,9476,2763244,3930,11678,2063,4107,52.49,35.17,1,1
"106年 3月",108568,2368905,12794,3902218,5586,15871,3438,6966,61.55,43.89,2,2
"106年 4月",108761,2372635,9741,3021843,4273,11010,2680,6044,62.72,54.90,2,1
"106年 5月",108815,2369174,10603,3308223,4383,11383,2734,5397,62.38,47.41,2,1
"106年 6月",108869,2350696,11063,3567567,4784,12677,3044,6946,63.63,54.79,2,1
"106年 7月",109054,2373732,10659,3600773,4910,12394,3265,6799,66.50,54.86,4,4
"106年 8月",109172,2377418,11341,3262586,5730,12352,3718,6040,64.89,48.90,2,2
"106年 9月",109383,2387633,10504,2913931,4392,9516,2809,5797,63.96,60.92,0,0
"106年 10月",109498,2394641,9194,2638121,4087,12833,2390,4684,58.48,36.50,0,0
"106年 11月",109488,2400506,10663,2819451,4834,10183,2612,5509,54.03,54.10,0,0
"106年 12月",109240,2380493,9949,2455929,4128,7787,2237,4471,54.19,57.42,4,2
"107年 1月",109360,2386253,10881,3073234,5239,11973,2408,4116,45.96,34.38,2,1
"107年 2月",109391,2375624,7184,1699600,3282,3722,1659,2995,50.55,80.47,1,1
"107年 3月",109532,2384868,11689,3004709,6200,8064,3805,4480,61.37,55.56,1,1
"107年 4月",109602,2386033,8823,2483481,4971,5794,2499,3626,50.27,62.58,3,2
"107年 5月",109746,2387435,11103,3070928,5895,9620,3522,4590,59.75,47.71,1,1
"107年 6月",109772,2372582,9037,2410644,5356,9776,2883,5527,53.83,56.54,1,1
"107年 7月",109955,2387840,10422,3107676,5955,10001,2794,4851,46.92,48.51,1,1
"107年 8月",110195,2395299,11656,3099831,6409,13482,3525,7086,55.00,52.56,2,2
"107年 9月",110336,2406591,8746,2371747,5478,9049,2632,6417,48.05,70.91,2,2
"107年 10月",110392,2418364,10653,2864243,5156,10640,2261,5284,43.85,49.66,0,0
"107年 11月",110451,2425503,9992,2478598,4214,9133,2369,7190,56.22,78.73,3,2
"107年 12月",110251,2404700,9602,2365381,3860,7136,2749,5271,71.22,73.86,1,1
"108年 1月",110150,2411046,10891,2910648,4865,8612,2851,4796,58.60,55.69,2,2
"108年 2月",110170,2402576,7773,2004943,3953,11011,2748,5225,69.52,47.45,0,0
"108年 3月",110196,2406504,10283,3067994,4754,11694,3250,4856,68.36,41.53,1,1
"108年 4月",110405,2408423,9779,2890687,4833,9234,3775,7511,78.11,81.34,0,0
"108年 5月",110516,2410704,10842,3126081,4092,8583,3057,4860,74.71,56.62,0,0
"108年 6月",110704,2393095,8764,2497561,3748,10050,2633,4346,70.25,43.24,1,1
"108年 7月",110849,2412701,10956,3143164,5457,10346,3672,6522,67.29,63.04,2,2
"108年 8月",111023,2413998,9756,2550951,4390,12612,3167,4954,72.14,39.28,5,4
"108年 9月",111183,2435845,8714,2193916,4823,8133,3257,7097,67.53,87.26,2,1
"108年 10月",111214,2440651,10604,2678675,4958,8280,3387,4790,68.31,57.85,1,1
"108年 11月",111323,2450610,9677,2193551,4305,9230,2819,5015,65.48,54.33,4,3
"108年 12月",111086,2434743,10326,2456645,3942,6252,2355,3699,59.74,59.17,3,2
"109年 1月",111163,2417849,8248,2206137,4206,6958,2207,6153,52.47,88.43,1,1
"109年 2月",111079,2415449,9992,2311411,4944,10254,2753,4510,55.68,43.98,1,1
"109年 3月",110990,2414022,10312,2921372,6076,11447,3508,4193,57.74,36.63,0,0
"109年 4月",111064,2417085,9024,2658329,7827,9733,3147,4331,40.21,44.50,1,0
"109年 5月",111138,2410923,8934,2450161,7749,15280,4559,5480,58.83,35.86,2,1
"109年 6月",111046,2393914,8677,2542508,6448,9010,3737,5196,57.96,57.67,1,1
"109年 7月",111238,2400208,9969,3153436,6360,12579,4110,5607,64.62,44.57,1,1
"109年 8月",111308,2402994,9023,2471939,6474,13615,4888,7256,75.50,53.29,3,2
"109年 9月",111419,2419078,9979,3520315,6398,10355,4852,6073,75.84,58.65,4,3
"109年 10月",111497,2429737,8895,3092131,5055,10702,3652,5539,72.25,51.76,2,2
"109年 11月",111538,2434970,9998,2775193,5179,10240,4020,5675,77.62,55.42,2,2
"109年 12月",111258,2415919,10267,2649685,4557,7520,3713,6106,81.48,81.20,0,0
"110年 1月",111385,2420232,8698,2570779,5144,14565,3073,4383,59.74,30.09,3,4
"110年 2月",111336,2411176,7841,1869065,3782,8553,2349,3664,62.11,42.84,0,0
"110年 3月",111474,2415585,10417,3143159,6424,11961,4462,6388,69.46,53.41,0,0
"110年 4月",111763,2422358,9598,2884633,6234,9312,3879,5453,62.22,58.56,1,0
"110年 5月",111847,2409081,8588,2294059,5414,7312,3826,4895,70.67,66.94,1,1
"110年 6月",111720,2390520,7572,1835113,4666,10838,1962,1043,42.05,9.62,0,0
"110年 7月",111719,2389988,9064,2672151,4806,6957,2292,1706,47.69,24.52,2,2
"110年 8月",111625,2396946,9704,2667134,6342,15514,2981,2378,47.00,15.33,0,0
"110年 9月",111756,2412597,8787,2435931,5367,9395,3530,3707,65.77,39.46,1,1
"110年 10月",111859,2426636,8850,2547987,4823,9491,2810,3409,58.26,35.92,0,0
"110年 11月",111859,2436572,9833,2360303,4887,10514,2809,4061,57.48,38.62,0,0
"110年 12月",111708,2425068,9432,2227299,4618,8253,3149,4931,68.19,59.75,1,1
"111年 1月",111761,2423999,9520,2484871,4811,13120,2954,4555,61.40,34.72,2,1
"111年 2月",111823,2419420,6915,1636303,4672,10773,2129,2190,45.57,20.33,1,1
"111年 3月",111781,2428421,10207,2887507,5148,11201,3389,4163,65.83,37.17,1,1
"111年 4月",111996,2434687,8058,2275323,4874,11615,3399,5368,69.74,46.22,0,0
"111年 5月",109889,2347557,8458,2211698,7696,12956,4603,5154,59.81,39.78,1,1
"111年 6月",109892,2327565,18185,2022579,4807,11495,3273,5063,68.09,44.05,4,3
"111年 7月",109929,2342005,28434,2448361,4506,13709,2864,3981,63.56,29.04,2,2
"111年 8月",109984,2346650,70068,2580390,4482,11967,2845,5753,63.48,48.07,4,4
"111年 9月",110096,2361396,71554,2274063,4257,10006,3144,5376,73.85,53.73,1,1
"111年 10月",110085,2373412,56811,2230172,3989,10928,2585,3556,64.80,32.54,1,1
"111年 11月",110104,2383067,58707,2224797,4450,9961,2925,4426,65.73,44.43,2,2
"111年 12月",109992,2368808,57165,2211258,4019,7277,2260,4061,56.23,55.81,3,2
"112年 1月",109859,2353928,24510,1579533,4257,10227,2240,3680,52.62,35.98,1,1
"112年 2月",109988,2359312,32964,2276152,4739,11803,3254,4297,68.66,36.41,0,0
"112年 3月",110069,2370626,36096,2912623,5751,14765,5126,6863,89.13,46.48,1,1
"112年 4月",110215,2374055,28651,2319273,4815,11940,4266,5642,88.60,47.25,1,0
"112年 5月",110231,2370287,38311,2719289,6675,13142,5954,7083,89.20,53.90,2,2
"112年 6月",110270,2354948,16137,2288697,5437,13005,4617,6518,84.92,50.12,0,0
"112年 7月",110369,2367799,12674,2572677,5911,16616,4690,6962,79.34,41.90,4,4
"112年 8月",110431,2366286,11676,2407072,5955,11974,4993,5083,83.85,42.45,3,2
"112年 9月",110531,2381623,9231,2114448,5540,12056,4828,6579,87.15,54.57,0,0
"112年 10月",110492,2389180,9476,1922220,5236,12879,4574,4588,87.36,35.62,2,2
"112年 11月",110505,2391686,9445,2082122,4902,11458,4264,5765,86.98,50.31,1,0
"112年 12月",110434,2374542,8848,1876100,5332,8849,4018,4689,75.36,52.99,1,1
"113年 1月",110417,2380499,9801,2303220,6231,13881,4610,5685,73.98,40.96,0,0
"113年 2月",110311,2370632,7269,1387678,5376,14726,4140,3586,77.01,24.35,0,0
"113年 3月",110457,2375145,9549,2327338,6305,12379,5335,5765,84.62,46.57,3,3
"113年 4月",110672,2382411,8938,2256703,5782,14504,4800,5658,83.02,39.01,0,0
"113年 5月",110821,2380566,9615,2459704,11004,14419,9691,7564,88.07,52.46,2,2
"113年 6月",110971,2362152,7933,1950128,11055,10672,9284,5495,83.98,51.49,2,0
"113年 7月",111063,2380558,9086,2378701,7622,16011,7357,9628,96.52,60.13,1,0
"113年 8月",111177,2378917,9481,2308980,5381,17011,5557,5736,103.27,33.72,3,3
"113年 9月",111277,2398500,8241,2017267,5616,13197,4635,16638,82.53,126.07,1,0
"113年 10月",111343,2413145,8400,1932633,4711,12699,4356,7966,92.46,62.73,0,0
"113年 11月",111352,2421142,8882,1900608,4795,13073,4357,7964,90.87,60.92,1,1
"113年 12月",110977,2407341,8354,1963778,4709,9781,4169,8433,88.53,86.22,3,2
"114年 1月",110929,2404218,7369,1678029,4783,14571,3663,7137,76.58,48.98,2,2
"114年 2月",110816,2400695,9132,1993814,5650,11821,4775,6888,84.51,58.27,0,0
"114年 3月",110710,2407265,8756,2390703,6032,11059,4950,14605,82.06,132.06,4,3
"114年 4月",110801,2414597,8248,2353889,5718,11399,4628,8470,80.94,74.30,2,2
"114年 5月",110978,2410084,7964,2022266,7829,12468,7463,6963,95.33,55.85,2,2
"114年 6月",111085,2393325,8473,2497956,5498,11737,4430,9786,80.57,83.38,2,2
"114年 7月",111360,2405676,8931,2672400,8540,15822,7792,7110,91.24,44.94,1,1
"114年 8月",111570,2397060,7826,2142403,5351,12229,4971,5721,92.90,46.78,2,2
"114年 9月",111655,2421262,7677,2077816,5424,11478,4532,13901,83.55,121.11,2,2
"114年 10月",111574,2426375,7781,2006617,6012,13255,4804,8412,79.91,63.46,1,0
"114年 11月",111580,2428169,7228,1813209,4522,12244,4384,7643,96.95,62.42,1,2
"114年 12月",111152,2411052,8245,2087603,4453,8477,3898,7716,87.54,91.02,2,2
"115年 1月",111303,2420505,8036,2132816,5754,14071,4276,6825,74.31,48.50,1,1
"115年 2月",111286,2404565,5465,1176066,3688,9616,2981,5006,80.83,52.06,1,1

