編號,公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反性別平等工作法（修正前為性別工作平等法，下同）條款,違反法規內容,罰鍰金額,備註
1,1150402,無,無,無,無,無,無,無,本期無違反性別平等工作法之事業單位
2,1150305,1150128,北市勞就第11460942191號 ,和和恬有限公司 ,唐怡婷 ,性別平等工作法第21條第1項 ,申請產檢假遭拒,20000,訴願中
2,1150305,1150127,北市勞就第11460407261號 ,居家整聊股份有限公司 ,鄭博元 ,性別平等工作法第11條第1項,懷孕歧視,300000,訴願中
3,1150305,1150127,北市勞就第11460347131號 ,香港商世界健身事業有限公司台灣分公司 ,柯約翰 ,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
4,1150205,1141231,北市勞就第11460883291號,惟美雅生物科技股份有限公司,黃美月,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,150000,
5,1150205,1141226,北市勞就第11460849331號,財團法人原住民族文化事業基金會,瑪拉歐斯,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
6,1150205,1141224,北市勞就第11460880161號,社團法人台北市美僑協會,普瑞迪,性別平等工作法第21條第2項,育嬰留職停薪遭不利處分,20000,
7,1150205,1141222,北市勞就第11460862781號,京鼎精密科技股份有限公司,劉揚偉,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
8,1150205,1141222,北市勞就第11460891881號,返場餐飲有限公司,吳庭安,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
9,1150105,1141119,北市勞就第11460804931號,社團法人國際人道建築與教育協會,裘振宇,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,120000,訴願中
10,1150105,1141119,北市勞就第11460240321號,亞瑟環境清潔股份有限公司,陳福志,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,訴願駁回(原處分維持)
11,1150105,1141114,北市勞就第11460784061號,米榭爾布盧股份有限公司,傅志誠,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,40000,訴願駁回(原處分維持)
12,1150105,1141113,北市勞就第11460757191號,唯眾普匯有限公司,陳正軒,性別平等工作法第7條,性別歧視,300000,訴願駁回(原處分維持)
13,1150105,1141113,北市勞就第11460875801號,中華電信股份有限公司,簡志誠,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,250000,勞動部審議中
14,1150105,1141112,北市勞就第11460743631號,鎧瑞全球股份有限公司,陳俐君,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,40000,
15,1141205,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
16,1141105,1140919,北市勞就第11460780611號 ,宇達經貿法律事務所 ,呂秋??,性別平等工作法第11條第1項 ,懷孕歧視,300000,訴願駁回(原處分維持)
17,1141105,1140916,北市勞就第11460628431號 ,葳騰科技股份有限公司 ,林鍾伶 ,性別平等工作法第13條第2項 ,雇主未盡工作場所性騷擾防治義務,20000,
18,1141007,1140827,北市勞就第11460675631號 ,養樂多股份有限公司,李道明,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
19,1141007,1140826,北市勞就第11460036781號,宜泓科技有限公司,張呂惠珍,性別平等工作法第11條第1項,懷孕歧視,300000,訴願駁回(原處分維持)
20,1141007,1140805,北市勞就第11460564721號,拾楀餐飲股份有限公司,曾柏憲,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
21,1140905,1140730,北市勞就第11460539971號,旭隼科技股份有限公司,謝卓明,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
22,1140905,1140728,北市勞就第11460061791號,信義之星公寓大廈管理維護股份有限公司,張建榮,性別平等工作法第21條第1項;性別平等工作法第21條第2項,申請育嬰留職停薪復職遭拒;申請育嬰留職停薪遭不利處分,40000,訴願駁回(原處分維持)
23,1140905,1140728,北市勞就第11460032561號,艾滴科技股份有限公司,余萬洲,性別平等工作法第11條第1項,懷孕歧視,300000,訴願駁回(原處分維持)
24,1140905,1140728,北市勞就第11460586941號,香港商群邑有限公司台灣分公司,郭俊鑫,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
25,1140805,1140605,北市勞就第11361193961號,臺北市政府環境保護局,徐世勳,性別平等工作法第7條,性別歧視,300000,訴願駁回(原處分維持)
26,1140805,1140605,北市勞就第11460606391號,沐蘭休閒事業股份有限公司,陳麗貞,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
27,1140704,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
28,1140605,1140416,北市勞就第11361031001號,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,張文瀚,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,20000,
29,1140605,1140416,北市勞就第11361269561號,東竹藥品股份有限公司,王唯正,性別平等工作法第21條第1項及第21條第2項,申請家庭照顧假遭拒及遭不利處分,200000,
30,1140505,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
31,1140407,1140227,北市勞就第11360996641號,天豐新能源股份有限公司,顧賢鉉,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
32,1140407,1140227,北市勞就第11360943391號,金御賞股份有限公司,黃智雄,性別平等工作法第21條第2項,育嬰留職停薪遭不利處分,,
33,1140407,1140221,北市勞就第11361003931號,紅陽科技股份有限公司,呂寶麟,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,200000,
34,1140305,1140124,北市勞就第11360395931號,森石窯有限公司,蔡瑞通,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
35,1140305,1140123,北市勞就第11360876401號,鄒為之(即伊生診所),鄒為之,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,訴願駁回(原處分維持)
36,1140305,1140122,北市勞就第11360259911號,星愷開發有限公司,洪翊倫,性別平等工作法第21條第1項,申請育嬰留職停薪復職遭拒,,
37,1140205,1131225,北市勞就第11361266131號,和德昌股份有限公司,李昌霖,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,1000000,
38,1140205,1131205,北市勞就第11360798331號,思納捷科技股份有限公司,莊棨?,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
39,1140205,1131202,北市勞就第11360252101號,台灣福斯股份有限公司,安薩瑞 Rahil Ansari ,性別平等工作法第7條,性別歧視,300000,
40,1140106,1131128,北市勞就第11360318991號,寶國建築經理股份有限公司,陳正林,性別平等工作法第13條第2項;性別平等工作法第36條,雇主未盡工作場所性騷擾防治義務;因受僱者提出性別工作平等法申訴而予以不利處分,250000,訴願駁回(原處分維持)
41,1140106,1131126,北市勞就第11360809781號,墨刻出版股份有限公司,葉君超,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,150000,
42,1140106,1131125,北市勞就第11360769421號,台安醫藥股份有限公司,張彩潁,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
43,1140106,1131125,北市勞就第11360357531號,晶妍精品有限公司 ,李徐金美,性別平等工作法第11條第1項,懷孕歧視,450000,
44,1131205,1131011,北市勞就第11360114661號,這一鍋餐飲股份有限公司,陳詠佶,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
45,1131105,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
46,1131004,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
47,1130905,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
48,1130805,無,無,無,無,無,無,無,本期無違反性別工作平等法之事業單位
49,1130705,1130508,北市勞就第11360531911號,畢竟科技股份有限公司,許冠智,性別平等工作法第11條第1項,懷孕歧視,300000,
50,1130605,1130410,北市勞就第11260398571號,日商亞德格龍股份有限公司台灣分公司,仙波憲司,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,100000,
51,1130605,1130410,北市勞就第11261139651號,馨嘉資產管理有限公司,許?文,性別平等工作法第11條第1項,懷孕歧視,300000,行政訴訟中
52,1130605,1130403,北市勞就第11261192131號,摘星社群行銷顧問股份有限公司,王俊人,性別平等工作法第21條第2項,申請安胎假遭不利處分,,
53,1130605,1130403,北市勞就第11261024941號,三商家購股份有限公司,陳翔玢,性別平等工作法第21條第2項,申請育嬰留職停薪遭不利處分,,訴願駁回(原處分維持)
54,1130503,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
55,1130403,1130206,北市勞就第11260440731號,宏羿企業股份有限公司,屠立智,性別平等工作法第21條第1項,申請育嬰留職停薪遭拒,,訴願駁回(原處分維持)
56,1130403,1130206,北市勞就第11260985381號,健喬信元醫藥生技股份有限公司,林智暉,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
57,1130403,1130206,北市勞就第11261160591號,林美如餐飲顧問有限公司,簡昊翔,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
58,1130403,1130130,北市勞就第11260993331號,良福保全股份有限公司,郭永宗,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
59,1130305,無,無,無,無,無,無,,本期無違反性別平等工作法之事業單位
60,1130205,1121225,府勞就第11260363641號,聚塔創意股份有限公司,蔡沇佑,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
61,1130205,1121225,府勞就第11260784671號,聚塔創意股份有限公司,蔡沇佑,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
62,1130205,1121221,府勞就第11260773481號,台灣那智不二越股份有限公司,松島芳紀,性別平等工作法第21條第2項,申請育嬰留職停薪遭不利處分,,
63,1130205,1121214,府勞就第11260344701號,身心靈企業管理顧問有限公司,黃懷之,性別平等工作法第13條第1項及13條第2項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示；雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
64,1130205,1121213,府勞就第11260776961號,怡誠公寓大廈管理維護股份有限公司,陳美瑄,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
65,1130205,1121213,府勞就第11260258731號,心理企業管理顧問有限公司,呂秀金,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
66,1130105,1121208,府勞就第11260729481號,兆豐國際商業銀行股份有限公司,雷仲達,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
67,1130105,1121108,府勞就第11260766771號,社團法人台灣發炎性腸道疾病學會,王鴻源,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
68,1130105,1121103,府勞就第11260769841號,麥面迪有限公司,曾柏儒,性別平等工作法第21條第1項及第21條第2項,申請安胎假遭拒及遭不利處分,,
69,1121205,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
70,1121103,1120906,府勞就第11260687391號,亞都麗緻大飯店股份有限公司,傲士英投資股份有限公司,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
71,1121103,1120906,府勞就第11260638291號,瑞士商愛爾康大藥廠股份有限公司台灣分公司,鄭豪杰 Colin Tay Hoe Kiat,性別平等工作法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
72,1121103,1120905,府勞就第11260444231號,更換有限公司,吳思漢,性別平等工作法第21條第1項,申請育嬰留職停薪遭拒絕,,
73,1121103,1120904,府勞就第11260106941號,王宏哲(即臺北市私立健康天才領袖體能發展短期補習班) ,王宏哲,性別平等工作法第21條第2項,申請育嬰留職停薪遭不利處分,,
74,1121005,1120804,府勞就第11260664501號,臺北市私立同德老人長期照顧中心(養護型),李佩芡,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
75,1120905,1120710,府勞就第11260764541號,民主進步黨,賴清德,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務；因受僱者提出性別工作平等法申訴而予以不利處分,,
76,1120905,1120710,府勞就第11260772521號,民主進步黨,賴清德,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
77,1120905,1120705,府勞就第11260119741號,臺北市政府工務局公園路燈工程管理處,黃淑如,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
78,1120804,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
79,1120705,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
80,1120605,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
81,1120505,1120307,府勞就字第11160535931號,台灣泰勒梅高爾夫有限公司,Mark Brian Sheldon-Allen,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
82,1120505,1120307,府勞就字第11160534441號,香港商尚域投資有限公司台灣分公司,趙偉,性別工作平等法第21條第1項,申請育嬰留職停薪復職遭拒,,
83,1120505,1120307,府勞就字第11161107211號,麗馥生醫科技有限公司,顏學森,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
84,1120505,1120324,府勞就字第11161068861號,柔昱健康事業有限公司,張淯,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
85,1120406,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
86,1120306,1120109,府勞就字第11160820911號,穴吹公寓大廈管理維護股份有限公司,新宮章弘,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
87,1120306,1120107,府勞就字第11161079841號,家福股份有限公司,王俊超,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
88,1120206,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
89,1120105,1111123,北市勞就字第11160254321號,川岳國際室內裝修設計有限公司,邱楷恩,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務；因受僱者提出性別工作平等法申訴而予以不利處分,,
90,1111205,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
91,1111104,1110907,北市勞就字第11160560111號,贏天下多媒體股份有限公司,洪素惠,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
92,1111005,1110824,北市勞就第11160598241號,築間餐飲事業股份有限公司,林楷傑,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
93,1111005,1110824,北市勞就第11160086511號,銳鎷股份有限公司,王琮方,性別工作平等法第21條第1項,申請安胎假遭拒,,審議駁回(原處分維持)
94,1111005,1110824,北市勞就第11160480311號,臺灣指數股份有限公司,林修銘,性別工作平等法第7條;性別工作平等法第21條第2項,雇主對受僱者之考績，因性別或性傾向而有差別待遇；申請育嬰留職停薪遭不利處分,,訴願駁回(原處分維持)
95,1110905,1110713,北市勞就字第11160346071號,品匯餐飲股份有限公司,王大洪,性別工作平等法第13條第1項及第13條第2項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示；雇主未盡工作場所性騷擾防治義務,,
96,1110805,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
97,1110705,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
98,1110606,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
99,1110505,1110316,北市勞就字第11061185013號,李文浩（即聖光眼科診所）,李文浩,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
100,1110505,1110324,北市勞就字第11061249623號,將來商業銀行股份有限公司,鍾福貴,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
101,1110406,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
102,1110307,1110106,北市勞就字第11060376293號,誠品生活股份有限公司,吳旻潔,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(不受理)
103,1110307,1110106,北市勞就字第11061156073號,迪那有限公司,陳銘寬,性別工作平等法第13條第1項及第13條第2項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示；雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
104,1110307,1110113,北市勞就字第11060952371號,安謀國際科技股份有限公司,Rene Anthony Andrada Haas,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,行政訴訟撤回（原處分維持）
105,1110207,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
106,1110105,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
107,1101203,1101028,北市勞就字第號11061157441,那魯灣創意行銷社,劉展瑞,性別工作平等法第21條第1項及第21條第2項,申請家庭照顧假遭拒及遭不利處分,,
108,1101105,1100928,北市勞就字第11060212373號,台灣福斯股份有限公司,安薩瑞 Rahil Ansari,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,行政訴訟中
109,1101005,1100906,北市勞就字第11060274763號,輝藥農業科技股份有限公司,郭泰濂,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
110,1100903,1100708,北市勞就字第11060273371號,上巨有限公司,葉子瑜,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇,,原告之訴駁回(原處分維持)
111,1100903,1100714,北市勞就字第11060262253號,晨星室內修繕工程行,陳國量,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
112,1100903,1100715,北市勞就字第11060268223號,應萃理研股份有限公司,顏郁文,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
113,1100903,1100720,北市勞就字第11060788282號,威鑫資產管理有限公司,邱麒穎,性別工作平等法第21條第2項,申請生理假遭不利處分,,
114,1100903,1100723,北市勞就字第11060037061號,財團法人台北市陳高關懷社會福利基金會,陳明國,性別工作平等法第21條第1項及第21條第2項,申請家庭照顧家遭拒及遭不利處分,,審議駁回(原處分維持)
115,1100805,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
116,1100705,1100503,北市勞就字第11060084003號,謝禎裘,謝禎裘,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
117,1100604,1100428,北市勞就字第11060085083號,傑座建設股份有限公司,劉穎宏,性別工作平等法第13條第2項及第21條第2項,雇主未盡工作場所性騷擾防治義務；申請生理假遭不利處分,,審議駁回(原處分維持)
